,PARAM INFO,,,,,,,,,,,,,,,,,,ORIG PROB,,,,,,,,,,,,,,,,,,,,,,,GIC POINT INFO ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIC CUT HEUR INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROOT BOUND,,,,,,,,,,,,,ROUND INFO,,,,,,,,,,,,,,,,,,TIME INFO,,,,,,,,,,,,,,,,,,,,,DONE!
INSTANCE,SICS,PHA,HPLANE_SCORING_FN,NUM_ALG2_ROUNDS,NUM_RAYS_CUT,MAX_FRAC_VAR,CUT_LIMIT,USE_SPLIT_SHARE,NUM_CUTS_ITER_BILINEAR,USE_UNIT_VECTORS_HEUR,USE_CUT_VERT_HEUR,USE_TIGHT_POINTS_HEUR,CUT_PRESOLVE,ROUNDS,MIN_ORTHOGONALITY,EPS,RAYEPS,TIMELIMIT,NUM ROWS,NUM COLS,NUM EQ ROWS,NUM INEQ ROWS,NUM BOUND ROWS,NUM ASSIGN ROWS,INTEGERS NON-BIN,BINARIES,CONTINUOUS,NUM BASIC,NUM NON-BASIC,NUM ORIG NON-BASIC,NUM PRIMAL DEGEN,NUM DUAL DEGEN,FRAC CORE,A NONZERO,A-DENSITY,MIN RAYVAL NO EPS,MIN RAYVAL,LP OBJ,WORST SPLIT OBJ,BEST SPLIT OBJ,IP OBJ,HPLANE HEUR,NUM HPLANES PER RAY,NUM RAYS C1,AVG NUM PARALLEL RAYS C1,AVG NUM SIC FINAL POINTS,AVG NUM SIC FINAL RAYS,NUM RAYS TO CUT,NUM CUT GEN SETS,NUM POINTS (TOTAL),NUM POINTS (AVG),NUM POINTS (MIN),NUM POINTS (MAX),NUM FINAL POINTS (TOTAL),NUM FINAL POINTS (AVG),NUM FINAL POINTS (MIN),NUM FINAL POINTS (MAX),SIC AVG TIGHT FINAL POINTS,GIC AVG TIGHT FINAL POINTS,ACTIVE SIC AVG TIGHT FINAL POINTS,ACTIVE GIC AVG TIGHT FINAL POINTS,NUM RAYS (TOTAL),NUM RAYS (AVG),NUM RAYS (MIN),NUM RAYS (MAX),NUM FINAL RAYS (TOTAL),NUM FINAL RAYS (AVG),NUM FINAL RAYS (MIN),NUM FINAL RAYS (MAX),SIC AVG TIGHT FINAL RAYS,GIC AVG TIGHT FINAL RAYS,ACTIVE SIC AVG TIGHT FINAL RAYS,ACTIVE GIC AVG TIGHT FINAL RAYS,SIC DEPTH POINTS (AVG),SIC DEPTH POINTS (MIN),SIC DEPTH POINTS (MAX),OBJ DEPTH POINTS (AVG),OBJ DEPTH POINTS (MIN),OBJ DEPTH POINTS (MAX),NUM CUTS,NUM CGS,SIC_CUT_GEN,ACTIVE SIC_CUT_GEN,CUT_VERTICES_CUT_HEUR,ACTIVE CUT_VERTICES_CUT_HEUR,DUMMY_OBJ_CUT_HEUR,ACTIVE DUMMY_OBJ_CUT_HEUR,ITER_BILINEAR_CUT_HEUR,ACTIVE ITER_BILINEAR_CUT_HEUR,UNIT_VECTORS_CUT_HEUR,ACTIVE UNIT_VECTORS_CUT_HEUR,TIGHT_POINTS_CUT_HEUR,ACTIVE TIGHT_POINTS_CUT_HEUR,SPLIT_SHARE_CUT_HEUR,ACTIVE SPLIT_SHARE_CUT_HEUR,OBJ,DUAL_CUT_SOLVER_FAILS,DUPLICATE_SIC_FAILS,DUPLICATE_GIC_FAILS,ORTHOGONALITY_FAILS,TIMELIMIT_FAILS,ITERATION_FAILS,ABANDONED_FAILS,NON_CUTTING_FAILS,SCALING_FAILS,UNSPEC_FAILS,CUT_LIMIT_FAILS,PRIMAL_CUT_SOLVER_FAILS,PRIMAL_CUT_SOLVER_NO_OBJ_FAILS,NUMERICAL_ISSUES_WARNING_NO_OBJ,NUMERICAL_ISSUES_NO_OBJ,INIT BOUND,NUM SIC,SIC BOUND,NUM PHA,PHA BOUND,ALL CUTS (WITH SIC),GIC OVER SIC,ALL OVER SIC,ACTIVE SIC,ACTIVE PHA,SIC % GAP CLOSED,GIC % GAP CLOSED,SIC+GIC % GAP CLOSED,TOTAL NUM SICS,NUM SIC ROUNDS,FINAL SIC BOUND,PHA+ BOUND RD 1,PHA+ BOUND RD 2,PHA+ BOUND RD 5,MIN SIC ORTHOGONALITY INIT,MAX SIC ORTHOGONALITY INIT,AVG SIC ORTHOGONALITY INIT,MIN PHA ORTHOGONALITY INIT,MAX PHA ORTHOGONALITY INIT,AVG PHA ORTHOGONALITY INIT,MIN SIC ORTHOGONALITY FINAL,MAX SIC ORTHOGONALITY FINAL,AVG SIC ORTHOGONALITY FINAL,MIN PHA ORTHOGONALITY FINAL,MAX PHA ORTHOGONALITY FINAL,AVG PHA ORTHOGONALITY FINAL,INIT_SOLVE_TIME,GEN_MSICS_TIME,APPLY_MSICS_TIME,CHOOSE_HPLANES_TIME,GEN_INTERSECTION_POINTS_TIME,GEN_VERTICES_TIME,GEN_PHA_TIME,APPLY_PHA_TIME,GEN_MPHA_TIME,APPLY_MPHA_TIME,COLLECT_STATS_TIME,SIC_CUT_GEN_TIME,CUT_VERTICES_CUT_HEUR_TIME,DUMMY_OBJ_CUT_HEUR_TIME,ITER_BILINEAR_CUT_HEUR_TIME,UNIT_VECTORS_CUT_HEUR_TIME,TIGHT_POINTS_CUT_HEUR_TIME,SPLIT_SHARE_CUT_HEUR_TIME,TOTAL_TIME
bell3a,1,1,0,-2,133,32,1000,0,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,123,133,0,123,8,0,32,39,62,123,133,54,19,13,32,347,0.021,3.72E-05,3.72E-05,862578.6435,,,878430.32,0,-2,133,117.156,2.812,,133,32,3820,119.375,3,1137,990,30.938,0,671,,,,,4339,135.594,114,250,,,,,,,,,0.694,0,3.207,1.295,0,19.624,127,32,32,15,0,0,0,0,0,0,95,36,0,0,0,0,8512,235,0,8182,0,0,0,0,0,0,0,0,0,0,0,0,862578.6435,32,869671.429,95,868859.1495,872013.0711,0,2341.64213,15,36,44.744703,39.620453,59.516907,55,0,872668.1986,872010.648,872010.648,872013.0711,0.002,1,0.878,0.1,1,0.904,0,1,0.818,0,1,0.874,0.01,0.02,0,7.56,1.95,0,12.57,0,3.03,0.05,0,0,0,0.01,0,3.01,0,0,12.69,Tue Sep  4 23:24:42 2018,bell3a,DONE!
bell3b,1,1,0,-3,133,35,1000,0,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,123,133,0,123,8,0,32,39,62,123,133,54,18,15,35,347,0.021,1.66E-05,1.66E-05,11404143.89,,,11786160.62,0,-3,133,120.343,3.886,,133,35,1553,44.371,3,191,584,16.686,0,144,,,,,4465,127.571,88,305,,,,,,,,,7.757,0,19.138,0.972,0,6.419,115,35,35,21,0,0,0,0,0,0,80,28,0,0,0,0,13965,222,0,13663,0,0,0,0,0,0,0,0,0,0,0,0,11404143.89,35,11574411.7,80,11631549.42,11634635.78,57137.72675,60224.08638,21,28,44.570773,59.527638,60.33555,93,0,11650630.61,11574426.14,11634635.78,11634635.78,0,1,0.989,0,1,0.982,0,1,0.908,0,1,0.936,0.01,0.02,0,2.56,0.6,0,5.65,0,2.45,0.03,0.01,0,0,0.03,0,2.42,0,0,5.8,Tue Sep  4 23:27:14 2018,bell3b,DONE!
bell4,1,1,1,2,117,46,1000,0,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,105,117,0,105,2,0,30,34,53,105,117,44,4,10,46,302,0.025,1.86E-05,1.86E-05,17984775.91,,,18541484.2,1,2,117,105.848,4.761,,117,46,4745,103.152,3,467,993,21.587,0,248,,,,,5096,110.783,86,135,,,,,,,,,17.962,0,159.979,1.525,0,8.605,1014,46,46,20,0,0,0,0,0,0,0,0,968,21,0,0,23634,0,0,22666,0,0,0,0,0,0,0,0,0,0,0,0,17984775.91,46,18114885.46,968,18128610.28,18132539.29,13724.82363,17653.82892,20,21,23.371225,25.836578,26.542334,81,0,18236445.63,18131292.95,18131292.95,18132379.56,0.001,1,0.988,0,1,0.928,0.001,1,0.944,0,1,0.7,0.01,0.02,0,2.23,1.6,0,30.65,0,26.77,2.6,0.01,0,0,0.05,0,0,26.62,0,33.35,Tue Sep  4 21:26:34 2018,bell4,DONE!
bell5,1,1,0,-1,104,25,1000,1000,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,91,104,0,91,2,0,28,30,46,91,104,48,17,10,25,266,0.028,0.000023974,0.000023974,8608417.947,,,8966406.49,0,-1,104,83.84,4.12,,104,25,2239,89.56,3,300,405,16.2,0,96,,,,,4313,172.52,53,518,,,,,,,,,8.771,0,21.95,1.394,0,8.228,87,25,25,12,4,4,0,0,0,0,49,29,0,0,9,5,5481,601,0,4818,0,0,0,0,0,0,0,0,0,0,0,0,8608417.947,25,8660422.457,62,8912543.903,8914044.142,252121.4455,253621.6852,12,38,14.526864,84.954103,85.373178,80,0,8692924.82,8914044.142,8914044.142,8914044.142,0.002,1,0.969,0,1,0.72,0,1,0.711,0,1,0.79,0.01,0.01,0,1.37,0.62,0,4.11,0,2.09,0.03,0,0,0.69,0.01,0,0.79,0,0.59,4.25,Thu Sep  6 10:34:38 2018,bell5,DONE!
blend2,1,1,0,4,353,6,1000,1000,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,274,353,89,185,88,0,25,239,89,274,353,242,169,174,6,1409,0.015,0,1.20E-07,6.915675114,,,7.598985,0,4,353,243.167,26.5,,353,6,19814,3302.333,1235,6183,523,87.167,6,188,,,,,1680,280,252,324,,,,,,,,,1.848,0,183.047,2.86,0,858.92,571,6,6,1,86,3,0,0,0,0,0,0,0,0,479,7,39504,23971,0,14879,0,89,0,0,0,0,0,0,0,0,0,0,6.915675114,6,7.025271685,565,7.050862419,7.050862419,0.025591,0.025591,1,10,16.039073,19.784187,19.784187,16,0,7.059938,7.042659,7.043208,7.046324,0.997,1,1,0.004,0.997,0.889,0.016,1,0.799,0,1,0.62,0.02,0.01,0,6.93,32.3,0,1451.92,0,1412.63,4.51,0,0,214.26,0.35,0,0,0,1197.85,1456.59,Fri Sep  7 19:45:08 2018,blend2,DONE!
bm23,1,1,0,-3,27,6,1000,1000,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,20,27,0,20,0,0,0,27,0,20,27,21,0,0,6,478,0.885,0.00035253,0.00035253,20.57092176,,,34,0,-3,27,0,2.667,,27,6,2203,367.167,348,390,343,57.167,6,160,,,,,0,0,0,0,,,,,,,,,0.789,0,114.79,1.486,0,188.667,1006,6,6,0,0,0,0,0,0,0,0,0,591,5,409,4,6450,2430,0,3020,0,0,0,0,0,0,0,6,0,0,0,0,20.57092176,6,21.36652935,1000,22.0561593,22.0561593,0.68963,0.68963,0,9,5.924514,11.059862,11.059862,20,0,22.296693,21.730144,21.870558,21.895312,0.176,0.505,0.315,0,0.99,0.703,0.035,0.69,0.246,0,1,0.358,0,0.01,0.01,0.8,0.41,0,18.01,0,16.79,3.57,0,0,0,0.01,0,0,6.63,10.15,21.62,Wed Sep  5 19:14:35 2018,bm23,DONE!
egout,1,1,0,-1,141,38,1000,1000,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,98,141,43,55,0,0,0,55,86,98,141,45,18,0,38,282,0.02,0.008544088,0.008544088,149.5887662,,,568.1,0,-1,141,106.684,3.921,,141,38,495,13.026,2,58,90,2.368,1,13,,,,,4948,130.211,96,138,,,,,,,,,0.107,0,0.996,2.995,0,9.003,83,38,38,36,0,0,0,0,0,0,32,28,0,0,13,13,5683,480,0,5157,0,0,0,0,0,1,0,0,0,0,0,0,149.5887662,38,365.4230979,45,367.6649798,367.6649798,2.241882,2.241882,36,41,51.571933,52.107613,52.107613,60,0,529.964218,365.423098,367.66498,367.66498,0.496,1,0.993,0.877,1,0.999,0.078,1,0.976,0,1,0.989,0,0.02,0,0.19,0.19,0,1,0,0.59,0.01,0,0,0,0,0,0.52,0,0.06,1.07,Tue Sep  4 17:37:59 2018,egout,DONE!
flugpl,1,1,0,-1,18,10,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,18,18,6,12,0,1,11,0,7,18,18,6,0,0,10,46,0.142,0.000177299,0.000177299,1167185.726,,,1201500,0,-1,18,4.2,6.1,0,18,10,231,23.1,3,50,208,20.8,3,43,0,0,,,52,5.2,1,9,4,0.4,0,1,0,0,,,0.093,0,0.34,1.66,0,4.295,15,10,10,6,5,3,0,0,0,0,0,0,0,0,0,0,40,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1167185.726,10,1171213.717,5,1169665.874,1171213.717,0,0,6,3,11.73853,7.227745,11.73853,10,1,1171213.717,1171213.717,1171213.717,1171213.717,0.01,0.977,0.668,0,0.83,0.511,0.01,0.977,0.668,0,0.83,0.511,0,0,0,0.01,0.01,0,0.16,0,0.14,0,0,0,0.01,0.13,0,0,0,0,0.16,Thu Oct 18 22:53:06 2018,flugpl,DONE!
gt2,1,1,0,-1,188,11,1000,0,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,29,188,0,29,0,0,164,24,0,29,188,169,9,0,11,376,0.069,0.000394633,0.000394633,13460.23307,,,21166,0,-1,188,164.273,9.364,0,188,11,1479,134.455,28,1183,317,28.818,18,78,0,0,,,1807,164.273,85,173,0,0,0,0,0,0,,,0.035,0,1.042,0.078,0,0.257,28,11,11,11,0,0,0,0,0,0,17,13,0,0,0,0,2068,22,0,2029,0,0,0,0,0,0,0,0,0,0,0,0,13460.23307,11,19866.00843,17,19952.77461,19952.77461,86.766177,86.766177,11,13,83.129628,84.255618,84.255618,27,2,20791.54667,19866.00843,19952.77461,19952.77461,1,1,1,1,1,1,0.001,1,0.879,0.012,1,0.962,0,0.01,0,1.19,0.5,0,2.78,0,1.07,0,0,0,0,0,0,1.06,0,0,2.81,Thu Oct 18 06:31:16 2018,gt2,DONE!
